ユーザー名,投稿日時,フォロワー数,ツイート文
Makoto-Araki,2022-09-29 13:40:28+09:00,0,"コロナで計画が大分、狂った‥
LPIC305に到達するのは何時になることやら‥"
Makoto-Araki,2022-09-29 13:39:05+09:00,0,仮想環境はLPIC305だったはず‥まずはLPIC2からだ
